real,user,sys,language
0.02,0.11,0.0,C
0.0,0.06,0.0,C
0.0,0.05,0.0,C
0.0,0.06,0.0,C
0.0,0.06,0.0,C
0.0,0.05,0.0,C
0.0,0.05,0.0,C
0.0,0.05,0.0,C
0.0,0.06,0.0,C
0.0,0.05,0.0,C
0.0,0.05,0.0,C
0.0,0.06,0.0,C
0.0,0.06,0.0,C
0.0,0.05,0.0,C
0.0,0.05,0.0,C
0.01,0.12,0.0,C
0.0,0.05,0.0,C
0.01,0.1,0.0,C
0.0,0.05,0.0,C
0.01,0.06,0.0,C
0.0,0.06,0.0,C
0.0,0.06,0.0,C
0.0,0.06,0.0,C
0.0,0.05,0.0,C
0.0,0.05,0.0,C
0.0,0.05,0.0,C
0.0,0.06,0.0,C
0.0,0.06,0.0,C
0.0,0.05,0.0,C
0.0,0.06,0.0,C
0.28,1.6,0.04,Python
0.28,1.6,0.05,Python
0.28,1.6,0.04,Python
0.29,1.58,0.05,Python
0.29,1.62,0.01,Python
0.28,1.55,0.08,Python
0.29,1.6,0.07,Python
0.29,1.62,0.05,Python
0.29,1.7,0.02,Python
0.28,1.58,0.06,Python
0.3,1.66,0.05,Python
0.29,1.63,0.05,Python
0.29,1.66,0.03,Python
0.3,1.7,0.04,Python
0.29,1.7,0.03,Python
0.29,1.67,0.02,Python
0.31,1.69,0.02,Python
0.3,1.73,0.03,Python
0.3,1.7,0.05,Python
0.3,1.75,0.02,Python
0.3,1.72,0.03,Python
0.3,1.74,0.03,Python
0.3,1.77,0.01,Python
0.31,1.75,0.06,Python
0.3,1.75,0.04,Python
0.31,1.8,0.03,Python
0.31,1.81,0.0,Python
0.31,1.78,0.05,Python
0.32,1.87,0.02,Python
0.32,1.83,0.04,Python
0.06,0.43,0.01,Go
0.06,0.42,0.02,Go
0.06,0.42,0.02,Go
0.07,0.43,0.01,Go
0.06,0.41,0.04,Go
0.07,0.43,0.02,Go
0.07,0.44,0.01,Go
0.07,0.41,0.04,Go
0.07,0.42,0.03,Go
0.06,0.42,0.02,Go
0.07,0.44,0.02,Go
0.06,0.43,0.02,Go
0.07,0.43,0.02,Go
0.07,0.43,0.02,Go
0.07,0.43,0.0,Go
0.06,0.45,0.0,Go
0.07,0.41,0.03,Go
0.06,0.44,0.0,Go
0.07,0.45,0.0,Go
0.06,0.41,0.03,Go
0.07,0.45,0.01,Go
0.07,0.45,0.0,Go
0.07,0.44,0.01,Go
0.07,0.44,0.02,Go
0.07,0.43,0.02,Go
0.07,0.44,0.02,Go
0.07,0.43,0.02,Go
0.07,0.45,0.0,Go
0.07,0.44,0.01,Go
0.07,0.46,0.0,Go
